GENE_SYMBOL,NAME,COSMIC_GENE_ID,CHROMOSOME,GENOME_START,GENOME_STOP,CHR_BAND,SOMATIC,GERMLINE,TUMOUR_TYPES_SOMATIC,TUMOUR_TYPES_GERMLINE,CANCER_SYNDROME,TISSUE_TYPE,MOLECULAR_GENETICS,ROLE_IN_CANCER,MUTATION_TYPES,TRANSLOCATION_PARTNER,OTHER_GERMLINE_MUT,OTHER_SYNDROME,TIER,SYNONYMS
ABI1,abl interactor 1,COSG100962,10,26746593.0,26861087.0,10p12.1,y,n,AML,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"ABI1,ENSG00000136754.17,Q8IZP0,10006,ABI-1,E3B1"
ACVR1B,activin A receptor type 1B,COSG87372,12,51951667.0,51997078.0,12q13.13,y,n,pancreatic cancer,,,E,,TSG,"D, F, Mis, N",,n,,1,"ACVR1B,ENSG00000135503.12,P36896,91,ALK4,ActRIB,SKR2"
ACVR2A,activin A receptor type 2A,COSG109828,2,147844517.0,147930826.0,2q23.1,y,n,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",,,E,Rec,TSG,"Mis, N, F",,n,,1,"ACVR2A,ENSG00000121989.14,P27037,92,ACTRII"
AMER1,APC membrane recruitment protein 1,COSG111928,X,64185117.0,64205744.0,Xq11.2,y,n,Wilms tumour,,,O,Rec,TSG,"F, D, N, Mis",,n,,1,"AMER1,ENSG00000184675.9,Q5JTC6,139285,FLJ39827,RP11-403E24.2,WTX"
APC,"APC, WNT signaling pathway regulator",COSG108961,5,112707498.0,112846239.0,5q22.2,y,y,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS",adenomatous polyposis coli; Turcot syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"APC,ENSG00000134982.16,P25054,324,DP2,DP2.5,DP3,PPP1R46"
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,COSG78257,22,38982347.0,38992804.0,22q13.1,n,y,,breast cancer,,E,Rec,"oncogene, TSG",D,,n,,1,"APOBEC3B,ENSG00000179750.15,Q9UH17,9582,FLJ21201,PHRBNL"
ARHGAP26,Rho GTPase activating protein 26,COSG66814,5,142770377.0,143229011.0,5q31.3,y,n,"AML, MDS",,,L,Dom,"TSG, fusion","T, F, S",KMT2A,n,,1,"ARHGAP26,ENSG00000145819.16,Q9UNA1,23092,GRAF,KIAA0621,OPHN1L,OPHN1L1"
ARHGAP35,Rho GTPase activating protein 35,COSG59943,19,46918676.0,47005077.0,19q13.32,y,n,endometrial carcinoma,,,E,,TSG,"N, Mis, F, O",,n,,1,"ARHGAP35,ENSG00000160007.18,Q9NRY4,2909,GRF-1,KIAA1722,P190A,p190ARhoGAP,p190RhoGAP"
ARHGEF12,Rho guanine nucleotide exchange factor 12,COSG109622,11,120336914.0,120489936.0,11q23.3,y,n,AML,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"ARHGEF12,ENSG00000196914.8,Q9NZN5,23365,KIAA0382,LARG"
ARID1A,AT-rich interaction domain 1A,COSG71518,1,26693236.0,26782110.0,1p36.11,y,n,"clear cell ovarian carcinoma, RCC, breast",,,E,Rec,"TSG, fusion","Mis, N, F, S, D, T",MAST2,n,,1,"ARID1A,ENSG00000117713.19,O14497,8289,B120,BAF250,BAF250a,C10rf4,P270"
ARID1B,AT-rich interaction domain 1B,COSG107409,6,156777374.0,157210779.0,6q25.3,y,n,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",,,E,Rec,TSG,"Mis, F, N, O",,n,,1,"ARID1B,ENSG00000049618.22,Q8NFD5,57492,6A3-5,BAF250b,DAN15,ELD/OSA1,KIAA1235,p250R"
ARID2,AT-rich interaction domain 2,COSG89256,12,45729665.0,45908040.0,12q12,y,n,hepatocellular carcinoma,,,E,Rec,TSG,"N, S, F",,n,,1,"ARID2,ENSG00000189079.15,Q68CP9,196528,BAF200,DKFZp686G052,FLJ30619,KIAA1557"
ARNT,aryl hydrocarbon receptor nuclear translocator,COSG69731,1,150809705.0,150876768.0,1q21.3,y,n,AML,,,L,Dom,"oncogene, TSG, fusion",T,ETV6,n,,1,"ARNT,ENSG00000143437.20,P27540,405,HIF-1beta,bHLHe2"
ASXL1,ASXL transcriptional regulator 1,COSG63327,20,32358330.0,32439319.0,20q11.21,y,n,"MDS, CMML",,,L,Rec,TSG,"F, N, Mis",,y,Bohring-Opitz syndrome,1,"ASXL1,ENSG00000171456.17,Q8IXJ9,171023,KIAA0978"
ATM,ATM serine/threonine kinase,COSG89944,11,108222484.0,108369102.0,11q22.3,y,y,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma",ataxia-telangiectasia,"L, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"ATM,ENSG00000149311.18,Q13315,472,TEL1,TELO1"
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,COSG58843,1,116372668.0,116410261.0,1p13.1,y,n,adrenal aldosterone producing adenoma,,,E,Dom,"oncogene, TSG","Mis, O",,n,,1,"ATP1A1,ENSG00000163399.15,P05023,476"
ATP2B3,ATPase plasma membrane Ca2+ transporting 3,COSG102707,X,153517676.0,153582939.0,Xq28,y,n,adrenal aldosterone producing adenoma,,,E,Dom,TSG,O,,n,,1,"ATP2B3,ENSG00000067842.17,Q16720,492,CFAP39,PMCA3"
ATR,ATR serine/threonine kinase,COSG73559,3,142449235.0,142578826.0,3q23,y,y,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,"E, L",Dom,TSG,"F, Mis",,y,Seckel syndrome 1,1,"ATR,ENSG00000175054.14,Q13535,545,FRP1,MEC1,SCKL,SCKL1"
ATRX,"ATRX, chromatin remodeler",COSG106026,X,77504878.0,77786269.0,Xq21.1,y,n,"pancreatic neuroendocrine tumours, paediatric GBM",,,E,Rec,TSG,"Mis, F, N",,y,ATR-X (alpha thalassemia/mental retardation) syndrome,1,"ATRX,ENSG00000085224.21,P46100,546,XH2,XNP"
AXIN1,axin 1,COSG75575,16,287440.0,352673.0,16p13.3,y,n,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma",,,"E, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"AXIN1,ENSG00000103126.14,O15169,8312,PPP1R49"
AXIN2,axin 2,COSG96143,17,65528563.0,65561647.0,17q24.1,y,y,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,oligodontia-colorectal cancer syndrome,E,Rec,TSG,"Mis, F, N",,n,,1,"AXIN2,ENSG00000168646.12,Q9Y2T1,8313,DKFZp781B0869,MGC126582"
B2M,beta-2-microglobulin,COSG79234,15,44711477.0,44718877.0,15q21.1,y,n,"DLBCL, melanoma, colorectal adenocarcinoma",,,"E, L",Rec,TSG,"Mis, N, F",,y,Immunodeficiency 43,1,"B2M,ENSG00000166710.17,P61769,567"
BAP1,BRCA1 associated protein 1,COSG113385,3,52401013.0,52410350.0,3p21.1,y,y,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer",BAP1 tumor predisposition syndrome,E,Rec,TSG,"N, Mis, F, S, O",,n,,1,"BAP1,ENSG00000163930.9,Q92560,8314,KIAA0272,UCHL2,hucep-6"
BARD1,BRCA1 associated RING domain 1,COSG71483,2,214725646.0,214809711.0,2q35,y,y,breast cancer,"ovarian cancer, breast cancer, endometrioid cancer",,E,,TSG,Mis,,n,,1,"BARD1,ENSG00000138376.10,Q99728,580"
BAX,"BCL2 associated X, apoptosis regulator",COSG106962,19,48954815.0,48961798.0,19q13.33,y,n,colorectal cancer,,,E,,TSG,"F, Mis",,n,,1,"BAX,ENSG00000087088.19,Q07812,581,BCL2L4"
BCL10,"BCL10, immune signaling adaptor",COSG86862,1,85266248.0,85277090.0,1p22.3,y,n,MALT,,,L,Dom,"TSG, fusion",T,IGH,n,,1,"BCL10,ENSG00000142867.12,O95999,8915,CARMEN,CIPER,CLAP,c-E10,mE10"
BCL11B,"BCL11B, BAF complex component",COSG102032,14,99169287.0,99271524.0,14q32.2,y,n,T-ALL,,,L,Dom,"oncogene, TSG, fusion",T,TLX3,n,,1,"BCL11B,ENSG00000127152.17,Q9C0K0,64919,CTIP-2,CTIP2,hRIT1-alpha"
BCL9L,B cell CLL/lymphoma 9 like,COSG105158,11,118893875.0,118925608.0,11q23.3,y,n,"colorectal cancer, endometrial carcinoma, gastric cancer",,,E,,"oncogene, TSG","Mis, F",,n,,1,"BCL9L,ENSG00000186174.12,Q86UU0,283149,DLNB11"
BCOR,BCL6 corepressor,COSG64323,X,40049815.0,40177329.0,Xp11.4,y,n,"retinoblastoma, AML, APL (translocation)",,,"L, M",Rec,"TSG, fusion","F, N, S, T",RARA,y,Oculo-facio-cardio-dental genetic,1,"BCOR,ENSG00000183337.16,Q6W2J9,54880,FLJ20285,KIAA1575"
BCORL1,BCL6 corepressor like 1,COSG92901,X,129981107.0,130058083.0,Xq26.1,y,n,"AML, HNSCC",,,"E, L",,"oncogene, TSG","Mis, N, F",,n,,1,"BCORL1,ENSG00000085185.15,Q5H9F3,63035,FLJ11362"
BIRC3,baculoviral IAP repeat containing 3,COSG64326,11,102317450.0,102339403.0,11q22.2,y,n,"CLL, MALT, MCL, MM",,,L,Dom,"oncogene, TSG, fusion","D, F, N, T, Mis",MALT1,n,,1,"BIRC3,ENSG00000023445.13,Q13489,330,MALT2,MIHC,RNF49,c-IAP2,cIAP2,hiap-1"
BLM,BLM RecQ like helicase,COSG113995,15,90717327.0,90816165.0,15q26.1,n,y,,"leukaemia, lymphoma, skin squamous cell, other tumour types",Bloom syndrome,"L, E",Rec,TSG,"Mis, N, F",,n,,1,"BLM,ENSG00000197299.10,P54132,641,BS,RECQ2,RECQL3"
BMPR1A,bone morphogenetic protein receptor type 1A,COSG95149,10,86756601.0,86932838.0,10q23.2,n,y,,gastrointestinal polyps,juvenile polyposis,E,Rec,"oncogene, TSG","Mis, N, F",,n,,1,"BMPR1A,ENSG00000107779.13,P36894,657,ALK3,CD292"
BRCA1,"BRCA1, DNA repair associated",COSG75342,17,43044295.0,43170245.0,17q21.31,y,y,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",,n,,1,"BRCA1,ENSG00000012048.21,P38398,672,BRCC1,FANCS,PPP1R53,RNF53"
BRCA2,"BRCA2, DNA repair associated",COSG68498,13,32315474.0,32400266.0,13q13.1,y,y,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",hereditary breast/ovarian cancer,"L, E",Rec,TSG,"D, Mis, N, F, S",,n,,1,"BRCA2,ENSG00000139618.14,P51587,675,BRCC2,FAD,FAD1,XRCC11"
BRIP1,BRCA1 interacting protein C-terminal helicase 1,COSG80352,17,61681266.0,61863521.0,17q23.2,n,y,,"AML, leukaemia, breast","Fanconi anaemia J, breast cancer susceptiblity","L, E",Rec,TSG,"F, N, Mis",,n,,1,"BRIP1,ENSG00000136492.8,Q9BX63,83990,BACH1,FANCJ,OF"
BTG1,BTG anti-proliferation factor 1,COSG72977,12,92140278.0,92145897.0,12q21.33,y,n,B-CLL,,,L,Dom,"TSG, fusion",T,MYC,n,,1,"BTG1,ENSG00000133639.4,P62324,694,APRO2"
BTK,Bruton tyrosine kinase,COSG96537,X,101349447.0,101390796.0,Xq22.1,y,n,"CLL, mantle cell lymphoma, WM",,,L,Dom,"oncogene, TSG",Mis,,y,agammaglobulinemia,1,"BTK,ENSG00000010671.15,Q06187,695,ATK,PSCTK1,XLA"
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,COSG78158,15,40161023.0,40221136.0,15q15.1,n,y,,rhabdomyosarcoma,mosaic variegated aneuploidy,M,Rec,TSG,"Mis, N, F, S",,n,,1,"BUB1B,ENSG00000156970.12,O60566,701,BUBR1,Bub1A,MAD3L,SSK1"
CAMTA1,calmodulin binding transcription activator 1,COSG61199,1,6785324.0,7769706.0,1p36.31,y,n,epithelioid haemangioendothelioma,,,M,Dom,"TSG, fusion",T,WWTR1,n,,1,"CAMTA1,ENSG00000171735.18,Q9Y6Y1,23261,KIAA0833"
CARS,cysteinyl-tRNA synthetase,COSG73613,11,3000922.0,3057613.0,11p15.4,y,n,ALCL,,,L,Dom,"TSG, fusion",T,ALK,n,,1,"CARS,ENSG00000110619.17,P49589,833,CARS1"
CASP8,caspase 8,COSG90904,2,201233443.0,201287711.0,2q33.1,y,n,"hepatocellular, oral squamous cell, breast",,,E,Rec,TSG,"N, S, F",,n,,1,"CASP8,ENSG00000064012.21,Q14790,841,Casp-8,FLICE,MACH,MCH5"
CBFA2T3,CBFA2/RUNX1 translocation partner 3,COSG96429,16,88874858.0,88977204.0,16q24.3,y,n,AML,,,L,Dom,"TSG, fusion",T,"RUNX1, GLIS2",n,,1,"CBFA2T3,ENSG00000129993.14,O75081,863,ETO2,MTG16,MTGR2,RUNX1T3,ZMYND4"
CBFB,core-binding factor subunit beta,COSG115535,16,67029116.0,67101058.0,16q22.1,y,n,AML,,,L,Dom,"TSG, fusion",T,MYH11,n,,1,"CBFB,ENSG00000067955.13,Q13951,865,PEBP2B"
CBL,Cbl proto-oncogene,COSG108842,11,119206276.0,119313926.0,11q23.3,y,n,"AML, JMML, MDS",,,L,Dom/Rec,"oncogene, TSG, fusion","T, Mis, S, O",KMT2A,n,,1,"CBL,ENSG00000110395.6,P22681,867,RNF55,c-Cbl"
CBLB,Cbl proto-oncogene B,COSG80246,3,105655461.0,105869552.0,3q13.11,y,n,AML,,,L,Rec,TSG,"Mis, S",,n,,1,"CBLB,ENSG00000114423.19,Q13191,868,Cbl-b,RNF56"
CCDC6,coiled-coil domain containing 6,COSG108617,10,59788763.0,59906656.0,10q21.2,y,n,"papillary thyroid, CML, NSCLC",,,E,Dom,"TSG, fusion",T,"RET, PDGFRB",n,,1,"CCDC6,ENSG00000108091.10,Q16204,8030,H4,PTC,TPC"
CCNB1IP1,cyclin B1 interacting protein 1,COSG89118,14,20311368.0,20333312.0,14q11.2,y,n,leiomyoma,,,M,Dom,"TSG, fusion",T,HMGA2,n,,1,"CCNB1IP1,ENSG00000100814.17,Q9NPC3,57820,HEI10"
CD274,CD274 molecule,COSG87130,9,5450503.0,5470566.0,9p24.1,y,n,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,CIITA,n,,1,"CD274,ENSG00000120217.13,Q9NZQ7,29126,B7-H,B7-H1,B7H1,PD-L1,PDL1"
CDC73,cell division cycle 73,COSG72057,1,193121997.0,193253901.0,1q31.2,y,y,parathyroid adenoma,"parathyroid adenoma, multiple ossifying jaw fibroma",hyperparathyroidism-jaw tumour syndrome,"E, M",Rec,TSG,"Mis, N, F",,n,,1,"CDC73,ENSG00000134371.11,Q6P1J9,79577,FIHP,parafibromin"
CDH1,cadherin 1,COSG106721,16,68737225.0,68835548.0,16q22.1,y,y,"lobular breast, gastric",gastric,familial gastric carcinoma,E,Rec,TSG,"Mis, N, F, S",,n,,1,"CDH1,ENSG00000039068.18,P12830,999,CD324,uvomorulin"
CDH11,cadherin 11,COSG67114,16,64943753.0,65126112.0,16q21,y,n,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,n,,1,"CDH11,ENSG00000140937.13,P55287,1009,CAD11,OB"
CDK12,cyclin dependent kinase 12,COSG101532,17,39461511.0,39564907.0,17q12,y,n,serous ovarian,,,E,Rec,TSG,"Mis, N, F",,n,,1,"CDK12,ENSG00000167258.13,Q9NYV4,51755,CRK7,CRKR,KIAA0904"
CDKN1B,cyclin dependent kinase inhibitor 1B,COSG61632,12,12715058.0,12722371.0,12p13.1,y,y,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid",multiple endocrine neoplasia type IV,E,Rec,TSG,F,,n,,1,"CDKN1B,ENSG00000111276.10,P46527,1027,KIP1,P27KIP1"
