Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
A1CF	APOBEC1 complementation factor	29974.0	10:50799421-50885675	2		10q11.23	yes		melanoma			E		oncogene	Mis				ACF,ACF64,ACF65,APOBEC1CF,ASP,CCDS73133.1,ENSG00000148584.14,NM_001198819.1,NP_001185748
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	25.0	9:130713946-130885683	1	Yes	9q34.12	yes		CML, ALL, T-ALL			L	Dom	oncogene, fusion	T, Mis	BCR, ETV6, NUP214			ABL,CCDS35165.1,ENSG00000097007.17,JTK7,NM_007313.2,NP_009297,P00519,c-ABL,p150
ABL2	c-abl oncogene 2, non-receptor tyrosine kinase	27.0	1:179099327-179229601	1		1q25.2	yes		AML			L	Dom	oncogene, fusion	T	ETV6			ABLL,ARG,CCDS30947.1,ENSG00000143322.19,NM_007314.3,NP_009298,P42684
ACKR3	atypical chemokine receptor 3	57007.0	2:236569641-236582358	1	Yes	2q37.3	yes		lipoma			M	Dom	oncogene, fusion	T	HMGA2			CCDS2516.1,CMKOR1,CXCR7,ENSG00000144476.5,GPR159,NM_020311.2,NP_064707,P25106,RDC1
ACVR1	activin A receptor, type I	90.0	2:157736444-157875111	1	Yes	2q24.1	yes		DIPG			O	Dom	oncogene	Mis		yes	Fibrodysplasia ossificans progressiva	ACVR1A,ACVRLK2,ALK2,CCDS2206.1,ENSG00000115170.13,NM_001347666.1,NP_001096,NP_001334595.1,NP_001334594.1,NP_001334592.1,Q04771,SKR1
AFDN	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)	4301.0	6:167827635-167970232	1		6q27	yes		AL			L	Dom	oncogene, fusion	T	KMT2A			AF-6,AF6,CCDS78199.1,ENSG00000130396.20,MLLT4,NM_001291964.1,NP_001278893
AFF3	AF4/FMR2 family, member 3	3899.0	2:99551121-100106128	1	Yes	2q11.2	yes		ALL, T-ALL			L	Dom	oncogene, fusion	T	KMT2A, RUNX1			CCDS33258.1,ENSG00000144218.18,LAF4,MLLT2-like,NM_001025108.1,NP_001020279,P51826
AFF4	AF4/FMR2 family, member 4	27125.0	5:132875379-132963634	1	Yes	5q31.1	yes		ALL			L	Dom	oncogene, fusion	T	KMT2A			AF5Q31,CCDS4164.1,ENSG00000072364.12,MCEF,NM_014423.3,NP_055238,Q9UHB7
AKT1	v-akt murine thymoma viral oncogene homolog 1	207.0	14:104769349-104794124	1	Yes	14q32.33	yes		breast, colorectal, ovarian, NSCLC			E	Dom	oncogene	Mis				AKT,CCDS9994.1,ENSG00000142208.15,P31749,PKB,PRKBA,RAC
AKT2	v-akt murine thymoma viral oncogene homolog 2	208.0	19:40230317-40285395	1		19q13.2	yes		ovarian, pancreatic			E	Dom	oncogene	A				CCDS12552.1,ENSG00000105221.16,NM_001626.5,NP_001617,P31751
AKT3	v-akt murine thymoma viral oncogene homolog 3	10000.0	1:243499720-243843282	2		1q44	yes		GBM			O		oncogene	A				CCDS31077.1,ENSG00000117020.16,NM_005465.4,NP_005456,PKBG,PRKBG,Q9Y243,RAC-gamma
ALK	anaplastic lymphoma kinase (Ki-1)	238.0	2:29192774-29921566	1	Yes	2p23.2	yes	yes	ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour	neuroblastoma	familial neuroblastoma	L, E, M	Dom	oncogene, fusion	T, Mis, A	NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1			CCDS33172.1,CD246,ENSG00000171094.17,NM_004304.4,NP_004295,Q9UM73
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582.0	22:38982409-38992784	1	Yes	22q13.1		yes		breast cancer		E	Rec	oncogene, TSG	D				CCDS13982.1,ENSG00000179750.15,FLJ21201,NM_004900.4,NP_004891,NP_004891.4,PHRBNL,Q9UH17
AR	Androgen Receptor	367.0	X:67544036-67730619	1	Yes	Xq12	yes	yes	prostate			E	Dom	oncogene	Mis		yes	Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy	AIS,CCDS14387.1,DHTR,ENSG00000169083.16,HUMARA,NM_000044.3,NP_000035,NR3C4,P10275,SBMA,SMAX1
ARAF	A-Raf proto-oncogene, serine/threonine kinase	369.0	X:47561100-47571920	2		Xp11.3	yes		cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis			E, L		oncogene	Mis				ARAF1,CCDS75970.1,ENSG00000078061.12,NM_001256196.1,NP_001243125
ARHGAP5	Rho GTPase activating protein 5	394.0	14:32077289-32159728	2		14q12	yes		colon cancer, glioma			E, O		oncogene	Mis				CCDS32062.1,ENSG00000100852.12,GFI2,NM_001030055.1,NP_001025226,Q13017,RhoGAP5,p190-B,p190BRhoGAP
ARNT	aryl hydrocarbon receptor nuclear translocator	405.0	1:150809705-150876768	1	Yes	1q21.3	yes		AML			L	Dom	oncogene, TSG, fusion	T	ETV6			CCDS970.1,ENSG00000143437.20,HIF-1beta,NM_001668.3,NP_001659,NP_001337154.1,NP_001337155.1,NP_001337153.1,P27540,bHLHe2
ATF1	activating transcription factor 1	466.0	12:50764292-50821122	1	Yes	12q13.12	yes		malignant melanoma of soft parts, angiomatoid fibrous histiocytoma			E, M	Dom	oncogene, fusion	T	EWSR1, FUS			CCDS8803.1,ENSG00000123268.8,NM_005171.4,NP_005162,P18846,TREB36
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	476.0	1:116373867-116404772	1	Yes	1p13.1	yes		adrenal aldosterone producing adenoma			E	Dom	oncogene, TSG	Mis, O				CCDS53351.1,ENSG00000163399.15,NM_001160233.1,NP_001153705,P05023
BCL11A	B-cell CLL/lymphoma 11A	53335.0	2:60457192-60555154	1	Yes	2p16.1	yes		B-CLL			L	Dom	oncogene, fusion	T	IGH			BCL11A-L,BCL11A-S,BCL11A-XL,CCDS1862.1,CTIP1,ENSG00000119866.21,EVI9,HBFQTL5,NM_022893.3,NP_075044,ZNF856
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	64919.0	14:99169287-99271228	1	Yes	14q32.2	yes		T-ALL			L	Dom	oncogene, TSG, fusion	T	TLX3			CCDS9950.1,CTIP-2,CTIP2,ENSG00000127152.17,NM_138576.3,NP_612808,NP_001269166.1,Q9C0K0,ZNF856B,hRIT1-alpha
BCL2	B-cell CLL/lymphoma 2	596.0	18:63123346-63320128	1		18q21.33	yes		NHL, CLL			L	Dom	oncogene, fusion	T	IGH			Bcl-2,CCDS11981.1,ENSG00000171791.12,NM_000633.2,NP_000624,P10415,PPP1R50
BCL2L12	BCL2 like 12	83596.0	19:49665142-49673915	2		19q13.33	yes		melanoma, SCC			E		oncogene	Mis				CCDS12776.1,ENSG00000126453.9,NM_138639.1,NP_619580,Q9HB09
BCL3	B-cell CLL/lymphoma 3	602.0	19:44748547-44760044	1		19q13.32	yes		CLL			L	Dom	oncogene, fusion	T	IGH			BCL4,CCDS12642.2,D19S37,ENSG00000069399.14,NM_005178.4,NP_005169,P20749
BCL6	B-cell CLL/lymphoma 6	604.0	3:187721377-187745727	1		3q27.3	yes		NHL, CLL			L	Dom	oncogene, fusion	T, Mis	IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3			BCL5,BCL6A,CCDS3289.1,ENSG00000113916.17,LAZ3,NM_001706.4,NP_001697,P41182,ZBTB27,ZNF51
BCL9	B-cell CLL/lymphoma 9	607.0	1:147541412-147626216	1	Yes	1q21.2	yes		B-ALL			L	Dom	oncogene, fusion	T	IGH, IGL			CCDS30833.1,ENSG00000116128.10,NM_004326.3,NP_004317,O00512
BCL9L	B-cell CLL/lymphoma 9-like	283149.0	11:118893875-118910904	1	Yes	11q23.3	yes		colorectal cancer, endometrial carcinoma, gastric cancer			E		oncogene, TSG	Mis, F				CCDS8403.1,DLNB11,ENSG00000186174.12,NM_182557.2,NP_872363,Q86UU0
BCORL1	BCL6 corepressor-like 1	63035.0	X:130005188-130058083	1	Yes	Xq26.1	yes		AML, HNSCC			E, L		oncogene, TSG	Mis, N, F				CCDS14616.1,CXorf10,ENSG00000085185.15,FLJ11362,NM_021946.4,NP_068765,NP_001171701.1,Q5H9F3
BIRC3	baculoviral IAP repeat-containing 3	330.0	11:102317495-102337734	1	Yes	11q22.2	yes		CLL, MALT, MCL, MM			L	Dom	oncogene, TSG, fusion	D, F, N, T, Mis	MALT1			API2,CCDS8315.1,ENSG00000023445.13,MALT2,MIHC,Q13489,RNF49,c-IAP2,cIAP2,hiap-1
